# Steps Temp KinEng PotEng Epair Ebond Eangle Bonds
501000000 312.46019362876739933 5270.7048028422459538 582.01658241112431824 -4107.6728458708093967 1892.1238402848537135 2797.5655879970795468 6138
502000000 311.91857103079979652 5261.5684940046867268 472.52576383095248502 -4227.8574863054982416 1902.3651667057497434 2798.0180834307002442 6144
503000000 312.44259373069718322 5270.4079206499545762 497.34347843978810033 -4155.3355652365089554 1884.8864639918574539 2767.7925796844397155 6141
504000000 312.00865735880432794 5263.088106586916183 463.21450299117873328 -4194.9056682300097236 1895.5288981555813734 2762.5912730656073109 6141
505000000 314.34739353420536645 5302.5388534136063754 513.06929190409528019 -4147.777699782694981 1907.1537913435854534 2753.6932003432048077 6129
506000000 308.67965610042915614 5206.9331682012843885 546.89139946951922866 -4171.9256710955432936 1957.3086660660735561 2761.5084044989889662 6136
507000000 315.6758047633162505 5324.9470308012923851 443.43191560947263952 -4293.4480386602936051 1931.1088897366935271 2805.7710645330721491 6137
508000000 307.97994323045924148 5195.1301287755886733 420.38233219005581986 -4216.7604048275516107 1906.8191431150789867 2730.3235939025285006 6145
509000000 311.05287954842481213 5246.9656602774748535 457.91326354377633834 -4188.2641010258212191 1870.5894271199063041 2775.5879374496907985 6136
510000000 308.89319536887052209 5210.5352348667956903 594.09421767809476478 -4212.4537433675823195 1953.1681180056923495 2853.3798430399847348 6128
511000000 311.46623564091714798 5253.9383178716516341 599.89360275901469777 -4104.368566748475132 1878.7710013869129853 2825.4911681205767309 6136
512000000 311.0465207655180393 5246.8583977579910425 558.63752868704239063 -4115.8180531753805553 1920.2797566728911534 2754.1758251895316789 6132
513000000 305.3936982902233126 5151.5043040920663771 627.25985984613623714 -4123.8875472212503155 1930.9171747510679324 2820.2302323163185065 6138
514000000 309.66899658952530672 5223.6217633370879412 513.85273264453917363 -4156.4026400093534903 1902.0407013674544032 2768.2146712864382607 6150
515000000 306.24446978599939939 5165.8554614565655356 541.36511097060633801 -4128.7666751324341021 1870.5186302648930905 2799.613155838147577 6143
516000000 309.33949063232432763 5218.063523706578053 504.19940780063518559 -4156.396592030404463 1878.8843222781322311 2781.7116775529066217 6136
517000000 314.43685219001520181 5304.0478781676292783 490.85188298063951606 -4163.9075154430011025 1891.3352232265706334 2763.4241751970703262 6133
518000000 310.65363109458888857 5240.2309760326697869 575.54208138016610974 -4146.7525609393833292 1931.4522041143154638 2790.8424382052335204 6134
519000000 311.5048473077174549 5254.5896350691691623 565.24643900040825883 -4094.4907227055259682 1913.774909778091569 2745.9622519278418622 6138
520000000 312.39883826777662534 5269.6698358210114748 709.89695809753425237 -4099.8933671532922745 1941.2597761593983705 2868.5305490914288384 6140
521000000 311.19477592452102499 5249.3592256859528788 685.41741588749687253 -4071.0171067782057435 1884.5071919007189081 2871.9273307649837079 6139
522000000 310.96955779967140643 5245.5601553514379702 718.75520340814023257 -4095.9810454885327999 1930.8730260627798998 2883.8632228338929053 6140
523000000 313.61979438192747693 5290.2654169098468628 558.91454563677666556 -4134.3309127146039827 1910.9550616922406334 2782.2903966591393328 6142
524000000 312.56387431907899099 5272.4537306209840608 551.1383195670321129 -4211.917328360047577 1946.2506469240411207 2816.8050010030383419 6145
525000000 312.38084963468827482 5269.3663962893569988 343.28190252466595211 -4248.2411708487315991 1874.0030248032796862 2717.5200485701170692 6148
526000000 308.92529855041431119 5211.0767643051030973 425.14330783228137989 -4175.0810600585309658 1877.4101871212180868 2722.8141807695947136 6140
527000000 311.58782348675924823 5255.9893107856751158 467.22371377457716335 -4212.4085317609460617 1909.7026642897328657 2769.9295812457899046 6145
528000000 315.35216880035693521 5319.4878086055568929 513.70845551813158636 -4181.4683293085809055 1914.1734024636562026 2781.0033823630556071 6145
529000000 312.64881336185294458 5273.8865167160647616 565.44757991026619948 -4147.3369658793817507 1944.3822906438210794 2768.4022551458269845 6151
530000000 312.90748275844543969 5278.2498566190924976 608.53372616714307242 -4070.292171082193363 1882.7348503183848152 2796.0910469309515065 6144
531000000 312.81514873850107961 5276.6923290609911419 709.73609700704537318 -4052.911939338240245 1917.2302951541691982 2845.4177411911164199 6143
532000000 308.09288075787560501 5197.0352046230473206 565.52417046168886827 -4161.3692241366443341 1917.4206233993756996 2809.4727711989571617 6141
533000000 319.80274158048308664 5394.5618686167972555 662.02933118441501392 -4148.7172670686250058 1976.4918553795218941 2834.2547428735178983 6134
534000000 306.33274145431346369 5167.3444636258800529 670.19990923391287652 -4126.3117727790549907 1944.4044515887753732 2852.107230424192494 6132
535000000 312.11667236100493028 5264.9101472899765213 671.27982927544530867 -4109.2747780849149422 1888.4892985496055644 2892.0653088107546864 6137
536000000 315.29103770039199617 5318.4566245099240405 675.22039289672716222 -4119.5644470594843369 1937.8476764680149245 2856.9371634881968021 6138
537000000 313.34957758561148466 5285.7072908022910269 687.05571958830080348 -4120.2656165284934104 1985.8526034286758204 2821.4687326881185072 6134
538000000 312.5821537398772989 5272.7620752772290871 526.3781140611263254 -4137.7671142533290549 1842.3900963313581087 2821.7551319830972716 6140
539000000 313.10552145052548667 5281.5904532991780798 486.73828505694092428 -4044.0328612257321765 1873.1607038151971665 2657.6104424674758775 6145
540000000 311.69063443578289707 5257.7235674169296544 651.72994390588564784 -4078.1230013940057688 1902.2989812740013349 2827.5539640258903091 6143
541000000 314.81703316047708086 5310.4609243982267799 587.08286042437202923 -4107.5753049374670809 1876.0679441489628516 2818.590221212877168 6132
542000000 308.00531515018064965 5195.5581125695553055 568.77848849996189529 -4218.1540511199709726 1883.9000949964161009 2903.0324446235172218 6135
543000000 307.52852411759124607 5187.5154087734781569 459.88318817577174968 -4145.2111245589439932 1868.3154539726187977 2736.7788587620971157 6129
